path,label,w,h,format,quant_step,baseline_bytes,residual_bytes,low_mip_bytes,total_codec_bytes,ratio_vs_baseline,lossless_pass,hp_energy,recommended_space
"paper/corpus/pbr-cc0/Bricks075A_Color.png",pbr-cc0/Bricks075A_Color,1024,512,pixel,1,2097152,1145006,524288,1669350,0.546008,true,7.2209,pixel
"paper/corpus/pbr-cc0/Bricks075A_Color.png",pbr-cc0/Bricks075A_Color,1024,512,pixel,2,2097152,847067,524288,1371379,0.403924,false,7.2209,pixel
"paper/corpus/pbr-cc0/Bricks075A_Color.png",pbr-cc0/Bricks075A_Color,1024,512,pixel,4,2097152,614556,524288,1138868,0.293055,false,7.2209,pixel
"paper/corpus/pbr-cc0/Bricks075A_Color.png",pbr-cc0/Bricks075A_Color,1024,512,bc1,1,262144,252642,524288,776986,0.963966,true,7.2209,pixel
"paper/corpus/pbr-cc0/Bricks075A_Color.png",pbr-cc0/Bricks075A_Color,1024,512,bc3,1,524288,270743,524288,795087,0.516508,true,7.2209,pixel
"paper/corpus/pbr-cc0/Bricks075A_Color.png",pbr-cc0/Bricks075A_Color,1024,512,bc5,1,524288,629677,524288,1154021,1.201120,true,7.2209,pixel
"paper/corpus/pbr-cc0/Bricks075A_Color.png",pbr-cc0/Bricks075A_Color,1024,512,bc7,1,524288,548266,524288,1072610,1.045841,true,7.2209,pixel
"paper/corpus/pbr-cc0/PaintedPlaster017_Roughness.png",pbr-cc0/PaintedPlaster017_Roughness,1024,512,pixel,1,2097152,220278,524288,744622,0.105063,true,0.9192,pixel
"paper/corpus/pbr-cc0/PaintedPlaster017_Roughness.png",pbr-cc0/PaintedPlaster017_Roughness,1024,512,pixel,2,2097152,171409,524288,695721,0.081746,false,0.9192,pixel
"paper/corpus/pbr-cc0/PaintedPlaster017_Roughness.png",pbr-cc0/PaintedPlaster017_Roughness,1024,512,pixel,4,2097152,102807,524288,627119,0.049034,false,0.9192,pixel
"paper/corpus/pbr-cc0/PaintedPlaster017_Roughness.png",pbr-cc0/PaintedPlaster017_Roughness,1024,512,bc1,1,262144,172230,524288,696574,0.657219,true,0.9192,pixel
"paper/corpus/pbr-cc0/PaintedPlaster017_Roughness.png",pbr-cc0/PaintedPlaster017_Roughness,1024,512,bc3,1,524288,176050,524288,700394,0.335896,true,0.9192,pixel
"paper/corpus/pbr-cc0/PaintedPlaster017_Roughness.png",pbr-cc0/PaintedPlaster017_Roughness,1024,512,bc5,1,524288,339952,524288,864296,0.648514,true,0.9192,pixel
"paper/corpus/pbr-cc0/PaintedPlaster017_Roughness.png",pbr-cc0/PaintedPlaster017_Roughness,1024,512,bc7,1,524288,403746,524288,928090,0.770191,true,0.9192,pixel
"paper/corpus/pbr-cc0/MetalPlates006_Roughness.png",pbr-cc0/MetalPlates006_Roughness,1024,1024,pixel,1,4194304,392729,1048576,1441361,0.093647,true,2.8396,pixel
"paper/corpus/pbr-cc0/MetalPlates006_Roughness.png",pbr-cc0/MetalPlates006_Roughness,1024,1024,pixel,2,4194304,308905,1048576,1357505,0.073654,false,2.8396,pixel
"paper/corpus/pbr-cc0/MetalPlates006_Roughness.png",pbr-cc0/MetalPlates006_Roughness,1024,1024,pixel,4,4194304,167008,1048576,1215608,0.039824,false,2.8396,pixel
"paper/corpus/pbr-cc0/MetalPlates006_Roughness.png",pbr-cc0/MetalPlates006_Roughness,1024,1024,bc1,1,524288,111198,1048576,1159830,0.212200,true,2.8396,pixel
"paper/corpus/pbr-cc0/MetalPlates006_Roughness.png",pbr-cc0/MetalPlates006_Roughness,1024,1024,bc3,1,1048576,118311,1048576,1166943,0.112884,true,2.8396,pixel
"paper/corpus/pbr-cc0/MetalPlates006_Roughness.png",pbr-cc0/MetalPlates006_Roughness,1024,1024,bc5,1,1048576,308963,1048576,1357595,0.294703,true,2.8396,pixel
"paper/corpus/pbr-cc0/MetalPlates006_Roughness.png",pbr-cc0/MetalPlates006_Roughness,1024,1024,bc7,1,1048576,361069,1048576,1409701,0.344396,true,2.8396,pixel
"paper/corpus/pbr-cc0/Bricks075A_NormalGL.png",pbr-cc0/Bricks075A_NormalGL,1024,512,pixel,1,2097152,1462506,524288,1986850,0.697404,true,8.6838,pixel
"paper/corpus/pbr-cc0/Bricks075A_NormalGL.png",pbr-cc0/Bricks075A_NormalGL,1024,512,pixel,2,2097152,1214147,524288,1738459,0.578962,false,8.6838,pixel
"paper/corpus/pbr-cc0/Bricks075A_NormalGL.png",pbr-cc0/Bricks075A_NormalGL,1024,512,pixel,4,2097152,946072,524288,1470384,0.451134,false,8.6838,pixel
"paper/corpus/pbr-cc0/Bricks075A_NormalGL.png",pbr-cc0/Bricks075A_NormalGL,1024,512,bc1,1,262144,280902,524288,805246,1.071770,true,8.6838,pixel
"paper/corpus/pbr-cc0/Bricks075A_NormalGL.png",pbr-cc0/Bricks075A_NormalGL,1024,512,bc3,1,524288,309685,524288,834029,0.590784,true,8.6838,pixel
"paper/corpus/pbr-cc0/Bricks075A_NormalGL.png",pbr-cc0/Bricks075A_NormalGL,1024,512,bc5,1,524288,638935,524288,1163279,1.218779,true,8.6838,pixel
"paper/corpus/pbr-cc0/Bricks075A_NormalGL.png",pbr-cc0/Bricks075A_NormalGL,1024,512,bc7,1,524288,553448,524288,1077792,1.055725,true,8.6838,pixel
"paper/corpus/pbr-cc0/Wood062_Roughness.png",pbr-cc0/Wood062_Roughness,1024,1024,pixel,1,4194304,843526,1048576,1892158,0.201126,true,6.7200,pixel
"paper/corpus/pbr-cc0/Wood062_Roughness.png",pbr-cc0/Wood062_Roughness,1024,1024,pixel,2,4194304,674050,1048576,1722650,0.160712,false,6.7200,pixel
"paper/corpus/pbr-cc0/Wood062_Roughness.png",pbr-cc0/Wood062_Roughness,1024,1024,pixel,4,4194304,513675,1048576,1562275,0.122475,false,6.7200,pixel
"paper/corpus/pbr-cc0/Wood062_Roughness.png",pbr-cc0/Wood062_Roughness,1024,1024,bc1,1,524288,438557,1048576,1487189,0.836588,true,6.7200,pixel
"paper/corpus/pbr-cc0/Wood062_Roughness.png",pbr-cc0/Wood062_Roughness,1024,1024,bc3,1,1048576,443769,1048576,1492401,0.423265,true,6.7200,pixel
"paper/corpus/pbr-cc0/Wood062_Roughness.png",pbr-cc0/Wood062_Roughness,1024,1024,bc5,1,1048576,710828,1048576,1759460,0.677952,true,6.7200,pixel
"paper/corpus/pbr-cc0/Wood062_Roughness.png",pbr-cc0/Wood062_Roughness,1024,1024,bc7,1,1048576,891561,1048576,1940193,0.850312,true,6.7200,pixel
"paper/corpus/pbr-cc0/Fabric010_Color.png",pbr-cc0/Fabric010_Color,1024,1024,pixel,1,4194304,1189333,1048576,2237965,0.283572,true,3.8555,pixel
