path,label,w,h,format,quant_step,baseline_bytes,residual_bytes,low_mip_bytes,total_codec_bytes,ratio_vs_baseline,lossless_pass,hp_energy,recommended_space
"paper/corpus/pbr-cc0/Asphalt022_Color.png",Asphalt022_Color,512,512,pixel,1,1048576,498793,65536,564385,0.475739,true,3.8161,pixel
"paper/corpus/pbr-cc0/Asphalt022_NormalGL.png",Asphalt022_NormalGL,512,512,pixel,1,1048576,701033,65536,766625,0.668611,true,6.7392,pixel
"paper/corpus/pbr-cc0/Asphalt022_Roughness.png",Asphalt022_Roughness,512,512,pixel,1,1048576,347694,65536,413286,0.331640,true,5.0709,pixel
"paper/corpus/pbr-cc0/Bricks075A_Color.png",Bricks075A_Color,512,256,pixel,1,524288,360536,32768,393360,0.687775,true,7.1283,pixel
"paper/corpus/pbr-cc0/Bricks075A_NormalGL.png",Bricks075A_NormalGL,512,256,pixel,1,524288,422024,32768,454848,0.805054,true,8.7466,pixel
"paper/corpus/pbr-cc0/Bricks075A_Roughness.png",Bricks075A_Roughness,512,256,pixel,1,524288,264322,32768,297146,0.504261,true,4.0870,pixel
"paper/corpus/pbr-cc0/Carpet013_Color.png",Carpet013_Color,512,512,pixel,1,1048576,711656,65536,777248,0.678741,true,23.3322,pixel
"paper/corpus/pbr-cc0/Carpet013_NormalGL.png",Carpet013_NormalGL,512,512,pixel,1,1048576,842002,65536,907594,0.803049,true,18.0736,pixel
"paper/corpus/pbr-cc0/Carpet013_Roughness.png",Carpet013_Roughness,512,512,pixel,1,1048576,335341,65536,400933,0.319860,true,3.7712,pixel
"paper/corpus/pbr-cc0/Concrete028_Color.png",Concrete028_Color,512,512,pixel,1,1048576,482301,65536,547893,0.460011,true,1.6787,pixel
"paper/corpus/pbr-cc0/Concrete028_NormalGL.png",Concrete028_NormalGL,512,512,pixel,1,1048576,654341,65536,719933,0.624082,true,3.8482,pixel
"paper/corpus/pbr-cc0/Concrete028_Roughness.png",Concrete028_Roughness,512,512,pixel,1,1048576,434153,65536,499745,0.414094,true,3.3720,pixel
"paper/corpus/pbr-cc0/Fabric010_Color.png",Fabric010_Color,512,512,pixel,1,1048576,661502,65536,727094,0.630911,true,6.0949,pixel
"paper/corpus/pbr-cc0/Fabric010_NormalGL.png",Fabric010_NormalGL,512,512,pixel,1,1048576,646769,65536,712361,0.616860,true,4.2409,pixel
"paper/corpus/pbr-cc0/Fabric010_Roughness.png",Fabric010_Roughness,512,512,pixel,1,1048576,482848,65536,548440,0.460533,true,2.2091,pixel
"paper/corpus/pbr-cc0/Ground037_Color.png",Ground037_Color,512,512,pixel,1,1048576,796240,65536,861832,0.759407,true,12.2171,pixel
"paper/corpus/pbr-cc0/Ground037_NormalGL.png",Ground037_NormalGL,512,512,pixel,1,1048576,786013,65536,851605,0.749654,true,11.5407,pixel
"paper/corpus/pbr-cc0/Ground037_Roughness.png",Ground037_Roughness,512,512,pixel,1,1048576,343963,65536,409555,0.328082,true,4.5008,pixel
"paper/corpus/pbr-cc0/Leather011_Color.png",Leather011_Color,512,512,pixel,1,1048576,331307,65536,396899,0.316012,true,0.8535,pixel
"paper/corpus/pbr-cc0/Leather011_NormalGL.png",Leather011_NormalGL,512,512,pixel,1,1048576,568346,65536,633938,0.542070,true,2.0376,pixel
"paper/corpus/pbr-cc0/Leather011_Roughness.png",Leather011_Roughness,512,512,pixel,1,1048576,498200,65536,563792,0.475174,true,2.1593,pixel
"paper/corpus/pbr-cc0/Marble019_Color.png",Marble019_Color,512,512,pixel,1,1048576,401140,65536,466732,0.382610,true,3.6966,pixel
"paper/corpus/pbr-cc0/Marble019_NormalGL.png",Marble019_NormalGL,512,512,pixel,1,1048576,109759,65536,175351,0.104728,true,0.3229,pixel
"paper/corpus/pbr-cc0/Marble019_Roughness.png",Marble019_Roughness,512,512,pixel,1,1048576,395927,65536,461519,0.377639,true,2.7774,pixel
"paper/corpus/pbr-cc0/Metal027_Color.png",Metal027_Color,512,512,pixel,1,1048576,290509,65536,356101,0.277104,true,1.6908,pixel
"paper/corpus/pbr-cc0/Metal027_Metalness.png",Metal027_Metalness,512,512,pixel,1,1048576,413,65536,66005,0.000447,true,0.0000,pixel
"paper/corpus/pbr-cc0/Metal027_NormalGL.png",Metal027_NormalGL,512,512,pixel,1,1048576,300423,65536,366015,0.286559,true,1.1526,pixel
"paper/corpus/pbr-cc0/Metal027_Roughness.png",Metal027_Roughness,512,512,pixel,1,1048576,262987,65536,328579,0.250857,true,2.1342,pixel
"paper/corpus/pbr-cc0/Metal032_Color.png",Metal032_Color,512,512,pixel,1,1048576,235314,65536,300906,0.224466,true,0.8421,pixel
"paper/corpus/pbr-cc0/Metal032_Metalness.png",Metal032_Metalness,512,512,pixel,1,1048576,413,65536,66005,0.000447,true,0.0000,pixel
"paper/corpus/pbr-cc0/Metal032_NormalGL.png",Metal032_NormalGL,512,512,pixel,1,1048576,111524,65536,177116,0.106411,true,0.3327,pixel
"paper/corpus/pbr-cc0/Metal032_Roughness.png",Metal032_Roughness,512,512,pixel,1,1048576,166002,65536,231594,0.158365,true,0.8609,pixel
"paper/corpus/pbr-cc0/MetalPlates006_Color.png",MetalPlates006_Color,512,512,pixel,1,1048576,138305,65536,203897,0.131951,true,2.9452,pixel
"paper/corpus/pbr-cc0/MetalPlates006_Metalness.png",MetalPlates006_Metalness,512,512,pixel,1,1048576,23378,65536,88970,0.022348,true,1.3638,pixel
"paper/corpus/pbr-cc0/MetalPlates006_NormalGL.png",MetalPlates006_NormalGL,512,512,pixel,1,1048576,178897,65536,244489,0.170663,true,7.5153,pixel
"paper/corpus/pbr-cc0/MetalPlates006_Roughness.png",MetalPlates006_Roughness,512,512,pixel,1,1048576,371817,65536,437409,0.354646,true,5.9048,pixel
"paper/corpus/pbr-cc0/MetalPlates013_Color.png",MetalPlates013_Color,512,512,pixel,1,1048576,633026,65536,698618,0.603754,true,2.9604,pixel
"paper/corpus/pbr-cc0/MetalPlates013_Metalness.png",MetalPlates013_Metalness,512,512,pixel,1,1048576,318092,65536,383684,0.303410,true,6.2985,pixel
"paper/corpus/pbr-cc0/MetalPlates013_NormalGL.png",MetalPlates013_NormalGL,512,512,pixel,1,1048576,486071,65536,551663,0.463607,true,1.6268,pixel
"paper/corpus/pbr-cc0/MetalPlates013_Roughness.png",MetalPlates013_Roughness,512,512,pixel,1,1048576,650114,65536,715706,0.620050,true,5.1815,pixel
"paper/corpus/pbr-cc0/PaintedPlaster017_Color.png",PaintedPlaster017_Color,512,256,pixel,1,524288,152800,32768,185624,0.291550,true,1.5475,pixel
"paper/corpus/pbr-cc0/PaintedPlaster017_NormalGL.png",PaintedPlaster017_NormalGL,512,256,pixel,1,524288,357926,32768,390750,0.682796,true,8.4307,pixel
"paper/corpus/pbr-cc0/PaintedPlaster017_Roughness.png",PaintedPlaster017_Roughness,512,256,pixel,1,524288,139638,32768,172462,0.266445,true,0.7800,pixel
"paper/corpus/pbr-cc0/Rust004_Color.png",Rust004_Color,512,512,pixel,1,1048576,502900,65536,568492,0.479656,true,1.9230,pixel
"paper/corpus/pbr-cc0/Rust004_Metalness.png",Rust004_Metalness,512,512,pixel,1,1048576,171946,65536,237538,0.164034,true,1.0924,pixel
"paper/corpus/pbr-cc0/Rust004_NormalGL.png",Rust004_NormalGL,512,512,pixel,1,1048576,649134,65536,714726,0.619116,true,4.7275,pixel
"paper/corpus/pbr-cc0/Rust004_Roughness.png",Rust004_Roughness,512,512,pixel,1,1048576,502873,65536,568465,0.479630,true,3.5719,pixel
"paper/corpus/pbr-cc0/Tiles101_Color.png",Tiles101_Color,512,512,pixel,1,1048576,683724,65536,749316,0.652103,true,19.9246,pixel
"paper/corpus/pbr-cc0/Tiles101_NormalGL.png",Tiles101_NormalGL,512,512,pixel,1,1048576,306689,65536,372281,0.292535,true,2.2734,pixel
