path,label,w,h,format,quant_step,baseline_bytes,residual_bytes,low_mip_bytes,total_codec_bytes,ratio_vs_baseline,lossless_pass,hp_energy,recommended_space
"paper/corpus/pbr-cc0/Bricks075A_Color.png",Bricks075A_Color,512,256,pixel,1,524288,360536,32768,393360,0.687775,true,7.1283,pixel
"paper/corpus/pbr-cc0/Bricks075A_NormalGL.png",Bricks075A_NormalGL,512,256,pixel,1,524288,422024,32768,454848,0.805054,true,8.7466,pixel
"paper/corpus/pbr-cc0/Bricks075A_Roughness.png",Bricks075A_Roughness,512,256,pixel,1,524288,264322,32768,297146,0.504261,true,4.0870,pixel
"paper/corpus/pbr-cc0/Fabric010_Color.png",Fabric010_Color,512,512,pixel,1,1048576,661502,65536,727094,0.630911,true,6.0949,pixel
"paper/corpus/pbr-cc0/Fabric010_NormalGL.png",Fabric010_NormalGL,512,512,pixel,1,1048576,646769,65536,712361,0.616860,true,4.2409,pixel
"paper/corpus/pbr-cc0/Fabric010_Roughness.png",Fabric010_Roughness,512,512,pixel,1,1048576,482848,65536,548440,0.460533,true,2.2091,pixel
"paper/corpus/pbr-cc0/Ground037_Color.png",Ground037_Color,512,512,pixel,1,1048576,796240,65536,861832,0.759407,true,12.2171,pixel
"paper/corpus/pbr-cc0/Ground037_NormalGL.png",Ground037_NormalGL,512,512,pixel,1,1048576,786013,65536,851605,0.749654,true,11.5407,pixel
"paper/corpus/pbr-cc0/Ground037_Roughness.png",Ground037_Roughness,512,512,pixel,1,1048576,343963,65536,409555,0.328082,true,4.5008,pixel
"paper/corpus/pbr-cc0/MetalPlates006_Color.png",MetalPlates006_Color,512,512,pixel,1,1048576,138305,65536,203897,0.131951,true,2.9452,pixel
"paper/corpus/pbr-cc0/MetalPlates006_Metalness.png",MetalPlates006_Metalness,512,512,pixel,1,1048576,23378,65536,88970,0.022348,true,1.3638,pixel
"paper/corpus/pbr-cc0/MetalPlates006_NormalGL.png",MetalPlates006_NormalGL,512,512,pixel,1,1048576,178897,65536,244489,0.170663,true,7.5153,pixel
"paper/corpus/pbr-cc0/MetalPlates006_Roughness.png",MetalPlates006_Roughness,512,512,pixel,1,1048576,371817,65536,437409,0.354646,true,5.9048,pixel
"paper/corpus/pbr-cc0/PaintedPlaster017_Color.png",PaintedPlaster017_Color,512,256,pixel,1,524288,152800,32768,185624,0.291550,true,1.5475,pixel
"paper/corpus/pbr-cc0/PaintedPlaster017_NormalGL.png",PaintedPlaster017_NormalGL,512,256,pixel,1,524288,357926,32768,390750,0.682796,true,8.4307,pixel
"paper/corpus/pbr-cc0/PaintedPlaster017_Roughness.png",PaintedPlaster017_Roughness,512,256,pixel,1,524288,139638,32768,172462,0.266445,true,0.7800,pixel
"paper/corpus/pbr-cc0/Wood062_Color.png",Wood062_Color,512,512,pixel,1,1048576,592799,65536,658391,0.565391,true,7.0604,pixel
"paper/corpus/pbr-cc0/Wood062_NormalGL.png",Wood062_NormalGL,512,512,pixel,1,1048576,808902,65536,874494,0.771482,true,13.2005,pixel
"paper/corpus/pbr-cc0/Wood062_Roughness.png",Wood062_Roughness,512,512,pixel,1,1048576,363415,65536,429007,0.346633,true,7.5503,pixel
